iter	Passed	Remaining
0	158	31587
1	170	16831
2	178	11749
3	188	9226
4	197	7683
5	205	6631
6	213	5896
7	222	5338
8	231	4904
9	239	4544
10	250	4302
11	259	4059
12	265	3816
13	271	3612
14	277	3426
15	283	3259
16	289	3118
17	296	2995
18	302	2885
19	308	2779
20	314	2681
21	320	2590
22	325	2505
23	331	2430
24	336	2357
25	342	2292
26	348	2232
27	354	2179
28	360	2127
29	366	2077
30	372	2029
31	378	1984
32	383	1942
33	389	1903
34	395	1865
35	401	1829
36	407	1795
37	413	1761
38	421	1738
39	426	1706
40	432	1675
41	437	1645
42	443	1617
43	448	1591
44	454	1566
45	460	1543
46	467	1520
47	473	1499
48	479	1477
49	485	1455
50	491	1436
51	497	1415
52	502	1393
53	508	1374
54	514	1355
55	519	1335
56	524	1316
57	530	1299
58	535	1280
59	541	1264
60	547	1247
61	554	1234
62	560	1218
63	565	1202
64	571	1187
65	578	1173
66	583	1159
67	590	1146
68	596	1132
69	602	1118
70	608	1105
71	617	1097
72	625	1088
73	633	1078
74	642	1070
75	650	1061
76	658	1052
77	667	1043
78	675	1035
79	683	1025
80	691	1015
81	698	1005
82	706	996
83	714	986
84	722	977
85	731	969
86	739	960
87	745	948
88	751	937
89	757	925
90	763	914
91	769	903
92	776	892
93	782	881
94	788	871
95	797	863
96	806	855
97	812	846
98	819	835
99	825	825
100	831	814
101	838	805
102	845	796
103	852	786
104	858	776
105	864	766
106	870	756
107	876	746
108	884	738
109	932	762
110	950	761
111	977	768
112	984	757
113	990	747
114	996	736
115	1002	725
116	1016	720
117	1028	714
118	1034	704
119	1041	694
120	1046	683
121	1052	673
122	1059	663
123	1064	652
124	1072	643
125	1080	634
126	1088	625
127	1095	616
128	1102	606
129	1108	597
130	1115	587
131	1122	578
132	1129	569
133	1137	560
134	1144	550
135	1150	541
136	1156	531
137	1164	523
138	1171	514
139	1178	505
140	1186	496
141	1193	487
142	1199	478
143	1208	469
144	1216	461
145	1223	452
146	1230	443
147	1237	434
148	1244	425
149	1253	417
150	1261	409
151	1268	400
152	1275	391
153	1282	383
154	1290	374
155	1297	365
156	1304	357
157	1312	348
158	1319	340
159	1326	331
160	1333	323
161	1342	314
162	1352	306
163	1360	298
164	1368	290
165	1376	281
166	1384	273
167	1391	265
168	1399	256
169	1408	248
170	1416	240
171	1425	232
172	1437	224
173	1447	216
174	1458	208
175	1467	200
176	1477	192
177	1486	183
178	1493	175
179	1502	166
180	1512	158
181	1519	150
182	1526	141
183	1534	133
184	1542	125
185	1549	116
186	1556	108
187	1563	99
188	1570	91
189	1577	83
190	1583	74
191	1589	66
192	1595	57
193	1600	49
194	1607	41
195	1614	32
196	1620	24
197	1626	16
198	1632	8
199	1638	0
