iter	Passed	Remaining
0	41	12308
1	51	7654
2	55	5471
3	59	4399
4	63	3744
5	67	3309
6	71	3005
7	75	2766
8	80	2591
9	84	2441
10	88	2323
11	92	2209
12	96	2131
13	100	2062
14	105	2003
15	109	1941
16	113	1892
17	117	1848
18	122	1808
19	127	1781
20	131	1742
21	135	1709
22	139	1677
23	143	1654
24	149	1643
25	153	1618
26	157	1590
27	162	1574
28	166	1554
29	170	1531
30	174	1512
31	178	1491
32	182	1472
33	186	1459
34	190	1440
35	194	1425
36	198	1407
37	202	1394
38	206	1380
39	210	1370
40	215	1359
41	219	1346
42	223	1336
43	227	1321
44	231	1310
45	234	1297
46	238	1285
47	242	1274
48	246	1262
49	250	1253
50	254	1241
51	258	1232
52	262	1222
53	265	1211
54	270	1204
55	274	1195
56	278	1188
57	282	1180
58	286	1171
59	290	1162
60	294	1153
61	298	1145
62	302	1137
63	306	1130
64	310	1122
65	314	1116
66	319	1112
67	324	1105
68	327	1097
69	331	1089
70	335	1082
71	340	1078
72	344	1072
73	348	1065
74	353	1059
75	357	1053
76	361	1046
77	366	1043
78	370	1036
79	374	1029
80	377	1021
81	381	1014
82	385	1007
83	389	1001
84	393	994
85	397	988
86	400	981
87	404	975
88	408	969
89	412	962
90	416	956
91	424	959
92	428	953
93	432	947
94	436	941
95	440	935
96	444	929
97	448	923
98	452	918
99	456	912
100	459	906
101	463	900
102	467	894
103	471	888
104	475	882
105	478	875
106	482	869
107	485	863
108	489	858
109	493	852
110	497	846
111	501	841
112	504	835
113	508	830
114	512	824
115	516	819
116	521	815
117	526	811
118	529	805
119	533	800
120	537	795
121	541	790
122	545	785
123	549	780
124	553	775
125	558	771
126	563	767
127	567	762
128	571	757
129	575	752
130	579	747
131	583	742
132	587	737
133	591	732
134	597	730
135	601	725
136	605	720
137	609	715
138	613	710
139	617	705
140	620	700
141	624	695
142	629	690
143	633	686
144	637	681
145	642	677
146	652	679
147	660	677
148	663	672
149	667	667
150	672	663
151	676	658
152	679	653
153	683	648
154	687	643
155	691	638
156	695	633
157	699	628
158	704	624
159	708	619
160	712	615
161	716	610
162	720	605
163	724	600
164	728	595
165	732	590
166	735	586
167	739	581
168	743	576
169	748	572
170	751	567
171	755	562
172	759	557
173	763	553
174	767	548
175	771	543
176	775	538
177	778	533
178	783	529
179	787	525
180	791	520
181	795	515
182	799	511
183	803	506
184	807	501
185	810	497
186	815	492
187	818	487
188	822	483
189	826	478
190	830	473
191	834	469
192	838	464
193	842	460
194	846	455
195	850	451
196	854	446
197	858	442
198	862	437
199	866	433
200	869	428
201	873	423
202	877	419
203	881	414
204	885	410
205	890	406
206	894	402
207	898	397
208	902	393
209	906	388
210	910	384
211	915	379
212	919	375
213	923	371
214	927	366
215	932	362
216	937	358
217	944	355
218	949	351
219	953	346
220	962	343
221	968	340
222	973	335
223	977	331
224	981	327
225	987	323
226	992	319
227	996	314
228	1001	310
229	1006	306
230	1010	301
231	1014	297
232	1019	293
233	1023	288
234	1027	284
235	1031	279
236	1035	275
237	1039	270
238	1043	266
239	1047	261
240	1050	257
241	1054	252
242	1061	249
243	1065	244
244	1070	240
245	1074	235
246	1079	231
247	1084	227
248	1089	223
249	1095	219
250	1098	214
251	1103	210
252	1110	206
253	1114	201
254	1120	197
255	1126	193
256	1131	189
257	1136	185
258	1140	180
259	1144	176
260	1150	171
261	1154	167
262	1159	163
263	1163	158
264	1167	154
265	1173	150
266	1177	145
267	1181	141
268	1186	136
269	1190	132
270	1194	127
271	1198	123
272	1202	118
273	1207	114
274	1211	110
275	1215	105
276	1219	101
277	1223	96
278	1227	92
279	1230	87
280	1236	83
281	1240	79
282	1245	74
283	1249	70
284	1253	65
285	1258	61
286	1262	57
287	1266	52
288	1270	48
289	1274	43
290	1282	39
291	1287	35
292	1291	30
293	1295	26
294	1299	22
295	1303	17
296	1307	13
297	1313	8
298	1318	4
299	1322	0
