Timestamp,Gender,Age_Range,Admission_Year,Faculty,Level_of_Study ,Parental_Level_of_Education,  Financial_Support_Source,  CGPA_Range,  Hours_of_Study_per_Week,  Class_Attendance,Accommodation_Type,Do_you_work_while_studying?,Internet_Access,  Participation_in_Clubs/Activities,  Scholarship_Status,"Do_you_receive_academic_support_(tutorials, mentorship, etc.)?",Health_Challenges,School_Activities_Stress,Dropout_Intention?
12/3/2025 23:59:19,Female,20–23 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,No,No,Yes,No,Very Stressful,No
12/3/2025 23:59:32,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,None,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Above 20 hours,Irregular,Hostel,No,Manage,No,No,No,"Yes, Minor",Moderately Stressful,No
12/4/2025 0:20:54,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Good,No,No,Yes,"Yes, Minor",Very Stressful,No
12/4/2025 10:17:57,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,No,Manage,No,No,No,No,Not Stressful,No
12/4/2025 10:18:24,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Some College,Parents/Guardians,4.50 – 5.00 (First Class),Less than 5 hours,Irregular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 10:21:14,Female,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,Yes,No,Moderately Stressful,No
12/4/2025 10:24:21,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,None,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,Yes,Manage,Yes,No,No,"Yes, Minor",Moderately Stressful,Not Sure
12/4/2025 10:26:14,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,Yes,Manage,Yes,No,No,"Yes, Minor",Moderately Stressful,Yes
12/4/2025 10:31:05,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Above 20 hours,Irregular,Hostel,Yes,Manage,Yes,No,No,"Yes, Minor",Moderately Stressful,No
12/4/2025 10:32:27,Female,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,No,No,No,No,Very Stressful,No
12/4/2025 10:36:58,Female,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,No,No,Yes,No,Very Stressful,No
12/4/2025 10:39:18,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,Yes,No,Yes,No,Moderately Stressful,No
12/4/2025 10:40:04,Male,20–23 years,2022/2023,Computing and Informatics (FCI),300 Level,None,Parents/Guardians,1.50 – 2.49 (Third Class),5–10 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 10:43:45,Female,16–19 years,2022/2023,Food & Consumer Sciences (FFCS),300 Level,None,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Good,Yes,No,Yes,"Yes, Minor",Very Stressful,No
12/4/2025 10:49:17,Male,16–19 years,2023/2024,Engineering and Technology (FET),200 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 11:09:01,Female,20–23 years,2024/2025,Computing and Informatics (FCI),200 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Squatting,Yes,Good,No,No,Yes,No,Moderately Stressful,No
12/4/2025 11:12:52,Female,20–23 years,2022/2023,Computing and Informatics (FCI),300 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Irregular,Hostel,No,Good,Yes,No,No,No,Very Stressful,No
12/4/2025 12:39:59,Male,16–19 years,2024/2025,Engineering and Technology (FET),200 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,Yes,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 12:46:17,Female,20–23 years,2022/2023,Pure and Applied Science (FPAS),400 Level,Some College,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Manage,No,No,Yes,"Yes, Minor",Moderately Stressful,No
